Ticket;Date;Timezone;Transaction;Details;Instrument;Price;Units;Direction;Spread;Cost;Stop;Loss;Take;Profit;Trailing;Stop;Financing;Commission;P/L;Amount;Balance
7297;01/09/2019;08:10:40;AM;MST;MARKET_ORDER;CLIENT_ORDER;USD/JPY;;1;Buy;;;;;;;;;;;
7298;01/09/2019;08:10:40;AM;MST;ORDER_FILL;MARKET_ORDER;USD/JPY;108.35;1;Buy;0.0001;;;;0;0;0;;925.91;;
7299;01/09/2019;08:10:40;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;108.591;;;;;;;;;;;;;
7300;01/09/2019;08:10:40;AM;MST;STOP_LOSS_ORDER;ON_FILL;;108.141;;;;;;;;;;;;;
7301;01/09/2019;08:16:37;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;USD/CHF;0.97326;1;Sell;0.0001;;;;0;0;-0.0021;;925.91;;
7302;01/09/2019;08:16:37;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7303;01/09/2019;08:17:41;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;USD/JPY;108.14;1;Sell;0.0001;;;;0;0;-0.0019;;925.9;;
7304;01/09/2019;08:17:41;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7305;01/09/2019;08:29:14;AM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;USD/CAD;1.32203;1;Sell;0.0001;;;;0;0;0.002;;925.91;;
7306;01/09/2019;08:29:14;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7307;01/09/2019;08:36:44;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;GBP/USD;1.27639;1;Sell;0.0001;;;;0;0;-0.0022;;925.9;;
7308;01/09/2019;08:36:44;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7309;01/09/2019;08:53:27;AM;MST;ORDER_FILL;STOP_LOSS_ORDER;EUR/USD;1.15098;1;Sell;0.0001;;;;0;0;-0.002;;925.9;;
7310;01/09/2019;08:53:27;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7311;01/09/2019;08:56:33;AM;MST;MARKET_ORDER;TRADE_CLOSE;AUD/USD;;1;Buy;;;;;;;;;;;
7312;01/09/2019;08:56:33;AM;MST;ORDER_FILL;MARKET_ORDER_TRADE_CLOSE;AUD/USD;0.71627;1;Buy;0.0001;;;;0;0;0.0019;;925.9;;
7313;01/09/2019;08:56:33;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7314;01/09/2019;08:56:33;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7315;01/09/2019;08:57:28;AM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/USD;;1;Buy;;;;;;;;;;;
7316;01/09/2019;08:57:28;AM;MST;ORDER_FILL;MARKET_ORDER;EUR/USD;1.15141;1;Buy;0.0001;;;;0;0;0;;925.9;;
7317;01/09/2019;08:57:28;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.15391;;;;;;;;;;;;;
7318;01/09/2019;08:57:28;AM;MST;STOP_LOSS_ORDER;ON_FILL;;1.14941;;;;;;;;;;;;;
7319;01/09/2019;08:58:11;AM;MST;MARKET_ORDER;CLIENT_ORDER;GBP/JPY;;1;Buy;;;;;;;;;;;
7320;01/09/2019;08:58:11;AM;MST;ORDER_FILL;MARKET_ORDER;GBP/JPY;137.816;1;Buy;0.0001;;;;0;0;0;;925.9;;
7321;01/09/2019;08:58:11;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;138.076;;;;;;;;;;;;;
7322;01/09/2019;08:58:11;AM;MST;STOP_LOSS_ORDER;ON_FILL;;137.626;;;;;;;;;;;;;
7323;01/09/2019;08:59:06;AM;MST;MARKET_ORDER;CLIENT_ORDER;USD/JPY;;1;Buy;;;;;;;;;;;
7324;01/09/2019;08:59:06;AM;MST;ORDER_FILL;MARKET_ORDER;USD/JPY;108.187;1;Buy;0.0001;;;;0;0;0;;925.9;;
7325;01/09/2019;08:59:06;AM;MST;TAKE_PROFIT_ORDER;ON_FILL;;108.446;;;;;;;;;;;;;
7326;01/09/2019;08:59:06;AM;MST;STOP_LOSS_ORDER;ON_FILL;;107.996;;;;;;;;;;;;;
7327;01/09/2019;09:29:38;AM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;GBP/JPY;138.078;1;Sell;0.0001;;;;0;0;0.0024;;925.91;;
7328;01/09/2019;09:29:38;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7329;01/09/2019;11:53:24;AM;MST;ORDER_FILL;TAKE_PROFIT_ORDER;EUR/USD;1.15391;1;Sell;0.0001;;;;0;0;0.0025;;925.91;;
7330;01/09/2019;11:53:24;AM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7331;01/09/2019;01:41:46;PM;MST;ORDER_FILL;STOP_LOSS_ORDER;USD/JPY;107.994;1;Sell;0.0001;;;;0;0;-0.0018;;925.91;;
7332;01/09/2019;01:41:46;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7333;01/09/2019;05:28:08;PM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/USD;;1;Sell;;;;;;;;;;;
7334;01/09/2019;05:28:08;PM;MST;ORDER_FILL;MARKET_ORDER;EUR/USD;1.15501;1;Sell;0.0001;;;;0;0;0;;925.91;;
7335;01/09/2019;05:28:08;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.15251;;;;;;;;;;;;;
7336;01/09/2019;05:28:08;PM;MST;STOP_LOSS_ORDER;ON_FILL;;1.15701;;;;;;;;;;;;;
7337;01/09/2019;05:28:54;PM;MST;MARKET_ORDER;CLIENT_ORDER;NZD/CHF;;1;Buy;;;;;;;;;;;
7338;01/09/2019;05:28:54;PM;MST;ORDER_FILL;MARKET_ORDER;NZD/CHF;0.66107;1;Buy;0.0002;;;;0;0;0;;925.91;;
7339;01/09/2019;05:28:54;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;0.66357;;;;;;;;;;;;;
7340;01/09/2019;05:28:54;PM;MST;STOP_LOSS_ORDER;ON_FILL;;0.65907;;;;;;;;;;;;;
7341;01/09/2019;05:30:04;PM;MST;MARKET_ORDER;CLIENT_ORDER;EUR/AUD;;1;Sell;;;;;;;;;;;
7342;01/09/2019;05:30:04;PM;MST;ORDER_FILL;MARKET_ORDER;EUR/AUD;1.61034;1;Sell;0.0001;;;;0;0;0;;925.91;;
7343;01/09/2019;05:30:04;PM;MST;TAKE_PROFIT_ORDER;ON_FILL;;1.60784;;;;;;;;;;;;;
7344;01/09/2019;05:30:04;PM;MST;STOP_LOSS_ORDER;ON_FILL;;1.61234;;;;;;;;;;;;;
7345;01/09/2019;06:03:23;PM;MST;ORDER_FILL;STOP_LOSS_ORDER;EUR/AUD;1.61234;1;Buy;0.0001;;;;0;0;-0.0014;;925.91;;
7346;01/09/2019;06:03:23;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
7347;01/09/2019;06:48:59;PM;MST;ORDER_FILL;STOP_LOSS_ORDER;NZD/CHF;0.65907;1;Sell;0.0001;;;;0;0;-0.0021;;925.9;;
7348;01/09/2019;06:48:59;PM;MST;ORDER_CANCEL;LINKED_TRADE_CLOSED;;;;;;;;;;;;;;;
