Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,Conversion Rate,PL,Amount,Balance
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 80,EUR/USD,,,,,,,,0.00000,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 25,USD/CAD,,,,,,,,-0.00050,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 29,AUD/USD,,,,,,,,-0.00070,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,CAD/JPY,,,,,,,,-0.00420,,,,,
,04/11/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 47,NZD/CHF,,,,,,,,-0.00670,,,,,
87,04/11/2018 01:03:06 PM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,200,Buy,,,151.76600,,,,,,,
88,04/11/2018 01:03:06 PM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,151.51300,200,Buy,0.0290,,,,0.00000,0.0000,,0.00000,,501.57
89,04/11/2018 01:03:06 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,151.76600,,,,,,,,,,,,
90,04/11/2018 01:11:05 PM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CAD,,150,Buy,,,1.26000,,,,,,,
91,04/11/2018 01:11:05 PM,PDT,ORDER_FILL,MARKET_ORDER,USD/CAD,1.25750,150,Buy,0.0107,,,,0.00000,0.0000,,0.00000,,501.57
92,04/11/2018 01:11:05 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,1.26000,,,,,,,,,,,,
93,04/11/2018 01:16:23 PM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/JPY,,150,Buy,,,107.05800,,,,,,,
94,04/11/2018 01:16:23 PM,PDT,ORDER_FILL,MARKET_ORDER,USD/JPY,106.85800,150,Buy,0.0098,,,,0.00000,0.0000,,0.00000,,501.57
95,04/11/2018 01:16:23 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,107.05800,,,,,,,,,,,,
96,04/11/2018 05:05:05 PM,PDT,MARKET_ORDER,CLIENT_ORDER,CAD/JPY,,200,Sell,,,84.74200,,,,,,,
97,04/11/2018 05:05:05 PM,PDT,ORDER_FILL,MARKET_ORDER,CAD/JPY,84.99200,200,Sell,0.0215,,,,0.00000,0.0000,,0.00000,,501.57
98,04/11/2018 05:05:05 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,84.74200,,,,,,,,,,,,
99,04/11/2018 05:09:19 PM,PDT,MARKET_ORDER,TRADE_CLOSE,EUR/USD,,100,Sell,,,,,,,,,,
100,04/11/2018 05:09:19 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,EUR/USD,1.23746,100,Sell,0.0075,,,,-0.00140,0.0000,1.0000,0.12300,,501.69
101,04/11/2018 05:09:19 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
102,04/11/2018 09:17:29 PM,PDT,MARKET_ORDER,TRADE_CLOSE,GBP/JPY,,200,Sell,,,,,,,,,,
103,04/11/2018 09:17:29 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,GBP/JPY,151.57200,200,Sell,0.0234,,,,-0.00090,0.0000,0.0093,0.11040,,501.80
104,04/11/2018 09:17:29 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
105,04/11/2018 09:17:34 PM,PDT,MARKET_ORDER,TRADE_CLOSE,CAD/JPY,,200,Buy,,,,,,,,,,
106,04/11/2018 09:17:34 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,CAD/JPY,84.94100,200,Buy,0.0196,,,,-0.00150,0.0000,0.0093,0.09540,,501.90
107,04/11/2018 09:17:34 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
108,04/11/2018 09:17:40 PM,PDT,MARKET_ORDER,TRADE_CLOSE,USD/CAD,,150,Sell,,,,,,,,,,
109,04/11/2018 09:17:40 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,USD/CAD,1.25864,150,Sell,0.0101,,,,-0.00040,0.0000,0.7944,0.13580,,502.03
110,04/11/2018 09:17:40 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
111,04/11/2018 09:18:39 PM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,200,Sell,,,0.70301,,,,,,,
112,04/11/2018 09:18:39 PM,PDT,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.70551,200,Sell,0.0323,,,,0.00000,0.0000,,0.00000,,502.03
113,04/11/2018 09:18:39 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.70301,,,,,,,,,,,,
114,04/11/2018 09:20:51 PM,PDT,MARKET_ORDER,CLIENT_ORDER,EUR/JPY,,100,Buy,,,132.39800,,,,,,,
115,04/11/2018 09:20:51 PM,PDT,ORDER_FILL,MARKET_ORDER,EUR/JPY,132.19800,100,Buy,0.0084,,,,0.00000,0.0000,,0.00000,,502.03
116,04/11/2018 09:20:51 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,132.39800,,,,,,,,,,,,
117,04/11/2018 09:21:36 PM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,200,Buy,,,151.85200,,,,,,,
118,04/11/2018 09:21:36 PM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,151.60200,200,Buy,0.0243,,,,0.00000,0.0000,,0.00000,,502.03
119,04/11/2018 09:21:36 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,151.85200,,,,,,,,,,,,
120,04/12/2018 01:57:14 AM,PDT,MARKET_ORDER,CLIENT_ORDER,NZD/CHF,,300,Sell,,,0.70631,,,,,,,
121,04/12/2018 01:57:14 AM,PDT,ORDER_FILL,MARKET_ORDER,NZD/CHF,0.70881,300,Sell,0.0422,,,,0.00000,0.0000,,0.00000,,502.03
122,04/12/2018 01:57:14 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.70631,,,,,,,,,,,,
123,04/12/2018 03:24:37 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,USD/JPY,107.05800,150,Sell,0.0091,,,,0.00250,0.0000,0.0093,0.28020,,502.31
124,04/12/2018 03:24:48 AM,PDT,ORDER_FILL,TAKE_PROFIT_ORDER,GBP/JPY,151.85300,200,Sell,0.0243,,,,-0.00070,0.0000,0.0093,0.46880,,502.78
125,04/12/2018 05:35:16 AM,PDT,MARKET_ORDER,CLIENT_ORDER,CAD/JPY,,150,Sell,,,84.82100,,,,,,,
126,04/12/2018 05:35:16 AM,PDT,ORDER_FILL,MARKET_ORDER,CAD/JPY,85.07000,150,Sell,0.0140,,,,0.00000,0.0000,,0.00000,,502.78
127,04/12/2018 05:35:16 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,84.82100,,,,,,,,,,,,
128,04/12/2018 06:06:46 AM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,110,Sell,,,82.85400,,,,,,,
129,04/12/2018 06:06:46 AM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,83.10400,110,Sell,0.0082,,,,0.00000,0.0000,,0.00000,,502.78
130,04/12/2018 06:06:46 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,82.85400,,,,,,,,,,,,
131,04/12/2018 06:22:17 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CHF,,100,Sell,,,0.96092,,,,,,,
132,04/12/2018 06:22:17 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CHF,0.96348,100,Sell,0.0099,,,,0.00000,0.0000,,0.00000,,502.78
133,04/12/2018 06:22:17 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.96092,,,,,,,,,,,,
134,04/12/2018 10:16:05 AM,PDT,MARKET_ORDER,TRADE_CLOSE,USD/CHF,,100,Buy,,,,,,,,,,
135,04/12/2018 10:16:05 AM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,USD/CHF,0.96174,100,Buy,0.0078,,,,-0.00160,0.0000,1.0397,0.18090,,502.96
136,04/12/2018 10:16:05 AM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
137,04/12/2018 10:16:44 AM,PDT,MARKET_ORDER,CLIENT_ORDER,USD/CHF,,110,Sell,,,0.95935,,,,,,,
138,04/12/2018 10:16:44 AM,PDT,ORDER_FILL,MARKET_ORDER,USD/CHF,0.96134,110,Sell,0.0103,,,,0.00000,0.0000,,0.00000,,502.96
139,04/12/2018 10:16:44 AM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,0.95935,,,,,,,,,,,,
140,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,,,,,,,,,,-0.04780,,,,,502.91
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 115,EUR/JPY,,,,,,,,-0.00190,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 25,USD/CAD,,,,,,,,-0.00050,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 138,USD/CHF,,,,,,,,-0.00120,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 29,AUD/USD,,,,,,,,-0.00090,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 129,AUD/JPY,,,,,,,,-0.00160,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 8,CAD/JPY,,,,,,,,-0.00420,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 126,CAD/JPY,,,,,,,,-0.00200,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 47,NZD/CHF,,,,,,,,-0.00960,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 112,NZD/CHF,,,,,,,,-0.01260,,,,,
,04/12/2018 01:00:00 PM,PDT,DAILY_FINANCING,TradeID: 121,NZD/CHF,,,,,,,,-0.01330,,,,,
141,04/12/2018 01:54:49 PM,PDT,MARKET_ORDER,TRADE_CLOSE,EUR/JPY,,100,Sell,,,,,,,,,,
142,04/12/2018 01:54:49 PM,PDT,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,EUR/JPY,132.31800,100,Sell,0.0088,,,,-0.00010,0.0000,0.0093,0.11180,,503.02
143,04/12/2018 01:54:49 PM,PDT,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,,
144,04/12/2018 03:44:21 PM,PDT,MARKET_ORDER,CLIENT_ORDER,GBP/JPY,,200,Sell,,,152.39300,,,,,,,
145,04/12/2018 03:44:21 PM,PDT,ORDER_FILL,MARKET_ORDER,GBP/JPY,152.64300,200,Sell,0.0317,,,,0.00000,0.0000,,0.00000,,503.02
146,04/12/2018 03:44:21 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,152.39300,,,,,,,,,,,,
147,04/12/2018 06:53:56 PM,PDT,MARKET_ORDER,CLIENT_ORDER,CAD/JPY,,110,Sell,,,85.05600,,,,,,,
148,04/12/2018 06:53:56 PM,PDT,ORDER_FILL,MARKET_ORDER,CAD/JPY,85.30400,110,Sell,0.0118,,,,0.00000,0.0000,,0.00000,,503.02
149,04/12/2018 06:53:56 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,85.05600,,,,,,,,,,,,
150,04/12/2018 08:07:15 PM,PDT,MARKET_ORDER,CLIENT_ORDER,AUD/JPY,,200,Sell,,,83.25700,,,,,,,
151,04/12/2018 08:07:15 PM,PDT,ORDER_FILL,MARKET_ORDER,AUD/JPY,83.50700,200,Sell,0.0149,,,,0.00000,0.0000,,0.00000,,503.02
152,04/12/2018 08:07:15 PM,PDT,TAKE_PROFIT_ORDER,ON_FILL,,83.25700,,,,,,,,,,,,
153,04/12/2018 08:07:32 PM,PDT,MARKET_ORDER,TRADE_CLOSE,AUD/USD,,50,Sell,,,,,,,,,,
