Ticket,Date,Timezone,Transaction,Details,Instrument,Price,Units,Direction,Spread Cost,Stop Loss,Take Profit,Trailing Stop,Financing,Commission,P/L,Amount,Balance
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1755,GBP/JPY,,,,,,,,-0.00780,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1821,GBP/JPY,,,,,,,,-0.01800,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2071,GBP/JPY,,,,,,,,-0.00910,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2095,GBP/JPY,,,,,,,,-0.03470,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2101,GBP/JPY,,,,,,,,-0.01680,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2142,GBP/JPY,,,,,,,,-0.00580,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2145,GBP/JPY,,,,,,,,-0.00190,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2148,GBP/JPY,,,,,,,,-0.00180,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2151,GBP/JPY,,,,,,,,-0.00120,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2158,GBP/JPY,,,,,,,,-0.00320,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2165,GBP/JPY,,,,,,,,-0.00080,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 392,NZD/CHF,,,,,,,,0.01040,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1433,NZD/CHF,,,,,,,,0.03160,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1436,NZD/CHF,,,,,,,,0.02080,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1470,NZD/CHF,,,,,,,,0.02330,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1659,NZD/CHF,,,,,,,,0.20820,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1662,NZD/CHF,,,,,,,,0.04820,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1668,NZD/CHF,,,,,,,,0.02790,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1677,NZD/CHF,,,,,,,,0.01620,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2130,NZD/CHF,,,,,,,,0.00540,,,,
,11/17/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2133,NZD/CHF,,,,,,,,0.00430,,,,
2171,11/17/2017 01:04:16 PM,PST,MARKET_ORDER,TRADE_CLOSE,NZD/CHF,,448,Sell,,,,,,,,,
2172,11/17/2017 01:04:16 PM,PST,ORDER_FILL,MARKET_ORDER_TRADE_CLOSE,NZD/CHF,0.67404,448,Sell,,,,,0.00000,0.0000,0.04080,,3451.11
2173,11/17/2017 01:04:16 PM,PST,ORDER_CANCEL,LINKED_TRADE_CLOSED,,,,,,,,,,,,,
2174,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,0.22190,,,,3451.34
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1744,GBP/JPY,,,,,,,,-0.01290,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1755,GBP/JPY,,,,,,,,-0.00780,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1821,GBP/JPY,,,,,,,,-0.01800,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2071,GBP/JPY,,,,,,,,-0.01000,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2095,GBP/JPY,,,,,,,,-0.04320,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2101,GBP/JPY,,,,,,,,-0.02100,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2142,GBP/JPY,,,,,,,,-0.01810,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2145,GBP/JPY,,,,,,,,-0.00620,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2148,GBP/JPY,,,,,,,,-0.00620,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2151,GBP/JPY,,,,,,,,-0.00430,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2158,GBP/JPY,,,,,,,,-0.01540,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2165,GBP/JPY,,,,,,,,-0.01280,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 392,NZD/CHF,,,,,,,,0.01040,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1433,NZD/CHF,,,,,,,,0.03150,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1436,NZD/CHF,,,,,,,,0.02080,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1470,NZD/CHF,,,,,,,,0.02330,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1659,NZD/CHF,,,,,,,,0.20800,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1662,NZD/CHF,,,,,,,,0.04810,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1668,NZD/CHF,,,,,,,,0.02790,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1677,NZD/CHF,,,,,,,,0.01620,,,,
,11/18/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 2130,NZD/CHF,,,,,,,,0.01160,,,,
2175,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,,,,,,,,,,0.22190,,,,3451.56
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1744,GBP/JPY,,,,,,,,-0.01290,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1755,GBP/JPY,,,,,,,,-0.00780,,,,
,11/19/2017 01:00:00 PM,PST,DAILY_FINANCING,TradeID: 1821,GBP/JPY,,,,,,,,-0.01800,,,,
